"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.122303740473031,0.122636992849934,0.122728968116647,0.122721954898275,0.122698651973011,0.122712887431511,0.122760998454276,0.122720932559858,0.122735618024495,0.122940087841084
0.118357845958646,0.120548314001633,0.119872510424572,0.117951108631523,0.1174287677625,0.119695807632166,0.118226216325555,0.117680685986319,0.117396769229931,0.118220515987224
0.119738430364775,0.120481393131298,0.120963084225081,0.121359365860203,0.121799764377794,0.121705698327878,0.121819462741162,0.121913421708311,0.122374997522472,0.120963084225081
0.120266588038681,0.120586010367896,0.120003859259689,0.120225191608146,0.120400339651798,0.120485230530399,0.121857328928704,0.121042204776402,0.122319983712392,0.130209791498507
0.111132491317035,0.111396504516354,0.111567567038671,0.111735584917947,0.111952924604758,0.112000512907244,0.112058574868343,0.112131019574429,0.112263399575795,0.112240196479323
0.133918441181163,0.133441984359565,0.133149738323551,0.13335179746251,0.133045335615515,0.133877277838676,0.13317011513644,0.133166466677263,0.133446812303046,0.133143896644134
0.127236332535639,0.12709096485356,0.126784908035094,0.12567365627039,0.126169434724352,0.127031807576251,0.126132400029101,0.127715422641027,0.1270579484708,0.126510286215945
NA,0.120267364079722,0.120137973495149,0.120607846710955,0.12058700702122,0.120574030849261,0.120568730258503,0.120578779590534,0.120571807158656,0.120573442587981
0.130351728115084,0.129982260616779,0.12998302407472,0.130687650689205,0.130673041531884,0.129907232720743,0.129800888083707,0.13010039902633,0.130339939569978,0.133044257534656
0.123620021889574,0.123408499925303,0.123525853141297,0.123347664035335,0.123383217715963,0.123411040895685,0.124048763259292,0.123592197511503,0.123600304267751,0.123601930399818
