PID, Sale_Price
910251050, 66972.1339532274
903454090, 132508.457618663
528253010, 200623.0062021
527183060, 225353.752736046
907135180, 124475.121965376
906380110, 225578.083057676
907192020, 185869.954055547
902402150, 82496.3412801135
909276170, 174155.343316821
906412010, 389088.890994711
905452140, 145747.225800071
531376030, 187646.522792197
534277070, 116808.47654894
910202060, 118439.766582117
906226080, 136705.791133605
903231090, 138350.136450436
527359010, 176820.292093321
923228370, 90324.5562815413
906402060, 244391.062339606
903426010, 127845.941778277
905200350, 155642.592974903
535353130, 114750.092055747
907285040, 256081.131852575
923252080, 120620.275053138
909250160, 103985.72485332
907135230, 150766.886203386
907131120, 197752.723088284
532476050, 265203.093882723
905104110, 140664.234722191
528104080, 434319.527197979
528181070, 223856.223064594
907285020, 224923.701267973
534129370, 150379.491704911
907401080, 208287.785036347
528348030, 264519.124234707
905475500, 79267.4228774597
903453080, 198306.846793123
903232090, 148905.850107317
531363080, 147674.066836789
528174030, 191838.270114688
534129380, 129602.320337352
528431020, 241711.73908052
532376040, 122480.613622816
903201020, 126562.547506336
905105170, 124832.979669013
533210010, 167360.800410148
902201130, 115550.649129329
532378220, 125283.442983084
902405120, 114523.900385273
907414060, 188273.140593532
528222020, 181421.405428895
923203190, 163653.295263684
903233080, 158497.13898453
531450120, 197602.720825308
907181090, 199231.895852027
528166150, 338447.315144669
905480160, 101535.705572899
534475170, 169825.158482642
914478045, 150536.495707645
531371070, 202155.458167514
527165170, 174538.916492036
905202230, 204355.401278148
909425180, 217022.181695214
528315110, 321860.559446913
907192130, 220811.10104025
526355190, 307404.269924172
909176080, 164377.067496208
535353180, 211615.711893349
535300040, 131103.721909582
905200160, 98920.5149424724
528458060, 197395.124119596
907254050, 203757.717027718
527163040, 175243.714237439
531452260, 173934.715445721
528222040, 196453.161221428
923225360, 98871.4787969779
535457040, 129395.462821657
904100170, 137608.632207613
528218060, 174705.22593865
908188150, 150371.712549102
534252110, 133988.764215177
909281030, 130098.217931581
527354050, 182523.581491718
909275020, 157035.880205868
907414070, 186053.357690229
924151040, 274096.299250921
903452025, 96095.3402461135
528280130, 190826.361698233
528181030, 196506.201336457
533221030, 174506.113280487
533208070, 166015.348881033
902207120, 88169.1095721944
533205110, 221033.149425652
533212110, 155364.800377965
923276250, 144917.703873547
527183030, 209729.059324397
906402200, 305073.618530728
527106140, 192813.608081066
535383070, 117907.739332791
528174040, 202167.565293596
903481130, 90971.2690471075
528106010, 361395.026761409
533223100, 149765.29615502
528188090, 168843.60290889
526353030, 264408.163785147
911103060, 101495.117679663
533251120, 162147.551061238
533254100, 178032.620814931
909426090, 141504.399041032
904352190, 134154.613426062
910226040, 157745.193597188
908130020, 132302.056732804
528458130, 327514.656060569
907251100, 256051.78148404
528429050, 243268.636235281
531450030, 191438.17101654
535152070, 141647.857525071
535402010, 184292.751332028
533212020, 166000.705088026
528102100, 267758.409680967
532376070, 120297.970503934
902305090, 85624.4767624828
909425085, 260369.988382022
534177180, 250670.600051676
526351100, 169898.074423519
528150090, 365886.50712699
528348010, 246161.833206516
903430060, 134458.345287929
534402060, 146794.486175074
533206060, 200536.570175799
907285010, 226092.093087321
907265100, 212911.727566634
535327230, 106416.288981917
535103050, 209258.428738476
528488140, 212139.910135196
905352180, 227763.757499906
528178070, 354342.338519445
531479020, 83147.7255767488
907201280, 132011.676866959
902103090, 116898.279525038
527180040, 194547.30122544
902128075, 108235.099552099
907290240, 143472.098066888
528235190, 191050.524565069
527455100, 139993.392580872
533130020, 236430.791003042
903476090, 109925.128278356
533212010, 156400.860435124
528292030, 267772.630354227
535353240, 169433.82139621
535475010, 151994.687446762
908127120, 115183.561298571
923226320, 85573.5998233932
909452050, 222589.557219609
905427030, 274629.257382507
923225510, 134538.633886729
902302150, 135723.138201148
528222010, 278145.478488019
902106040, 168571.913947937
903236040, 117346.979153847
527455240, 114377.517166782
905227050, 138810.084926375
906380180, 191147.047374069
923228390, 76866.0411737221
527365010, 269508.375147098
535376060, 147403.156591234
528429080, 276000.038842023
905107300, 162686.749093663
909475020, 242531.298582663
527403310, 148697.612058942
528228340, 198174.165698088
903231060, 37479.1573652638
534202160, 143079.591540642
907192150, 188397.142248425
527163080, 157991.840688345
528228430, 196374.856149714
914467050, 204976.709753528
909175080, 47201.9456500089
902206040, 133944.946153736
916477060, 294881.016643726
911204100, 80056.6487883157
528480150, 196708.053491963
909254090, 167947.339173866
905228050, 38640.603724055
907425010, 147798.062688364
906201021, 161885.379903108
902207110, 77638.9266711285
911370520, 281688.19960488
534427140, 151307.839643365
528431030, 221821.16904625
904302030, 161448.042909145
923201020, 142637.848562476
905103110, 123416.800988664
907285050, 189899.952895565
905475150, 129844.212558581
528427070, 225173.399257688
534178010, 134596.648189491
908154195, 448366.392231807
909281130, 265776.455803909
534175010, 148918.149131656
528174050, 197435.848504657
910200040, 114519.195483231
905477010, 97778.2799565969
535154050, 127595.212476666
923275140, 117143.340350753
905475160, 122890.787054819
528382020, 312300.372376742
533213140, 167746.071420716
906392090, 253358.38659699
906340090, 363043.17958713
527453070, 134487.234221852
903236010, 122756.325154639
534431020, 137082.939418988
534250410, 195639.67584283
916253320, 275302.572143969
923203100, 172127.538202252
528221010, 187480.342776266
527110020, 160064.854683819
527454130, 139300.191998904
902206270, 135917.863296859
535454050, 82660.7046592651
527107130, 175071.868457281
532376180, 114471.310968812
913350030, 209212.785888662
534276290, 109150.325202009
532354070, 140575.776106151
535154130, 148189.124067358
909427200, 160227.620291109
534252060, 144531.178798427
527451550, 111029.651708136
923275200, 129559.297156284
906225210, 161603.292997211
527161010, 177162.446884578
907405030, 222052.793094973
535327140, 110758.623417897
916475100, 305688.80971132
905402070, 114841.50288142
527302175, 181481.899879127
903202170, 139340.906151986
906426090, 177229.888463305
910202100, 118565.43795463
909451180, 124109.617521187
905100060, 129640.142260854
527355280, 206705.439139667
909275110, 193252.491448964
527302020, 189739.968660548
534250400, 190196.836087093
903235020, 94849.6207193929
528222030, 185680.284145944
528477050, 360285.455515011
533208020, 225794.667511208
531452180, 203314.727688395
909428180, 193400.014833156
907262020, 190020.770856933
535300120, 172020.889461966
907275090, 224685.185699353
903458110, 103261.707845714
532376160, 135638.015447722
528363050, 321082.075698081
528458040, 230090.970292437
527208010, 384538.956003929
907185050, 199879.651130254
527356050, 143036.620490311
923203110, 162048.918584928
905105040, 114332.374630727
534475185, 155508.974598811
907194160, 207467.398036842
909254140, 110758.464377006
902401130, 148648.449448036
905108120, 156620.262775204
908275300, 148692.269141574
533221100, 172775.862300928
533236060, 202146.00933676
532377140, 128503.161846132
527164060, 169572.172254148
902301130, 114889.648472502
528315090, 327594.624281471
923225050, 130554.491452199
902128020, 98695.7752407932
528280230, 229929.433137186
527358200, 173580.799845149
907187080, 190102.790768849
905427010, 194541.284076116
905325020, 260895.0226591
909254070, 164779.164182651
905351045, 184544.286073075
902205090, 115562.168189022
535150280, 133362.703379032
533253160, 183301.319352066
532377130, 136604.779196332
535478070, 135762.437096941
905451050, 148824.403046244
902102100, 114840.921112678
905201090, 160122.189866193
907252020, 245536.774505534
902325160, 98324.0927464873
907125040, 148749.804022687
527450030, 109591.187383057
528228360, 203928.796811084
